fp .fem-pilots-light-526.png
 	Label 	 Score
fp .fem-pilots-light-501.jpg
 	Label 	 Score
0	Smile 	 92.46773719787598 
1	Sleeve 	 87.24458813667297 
2	Gesture 	 85.2604866027832 
3	Waist 	 77.55587697029114 
4	Shelf 	 70.5020546913147 
5	Belt 	 69.66720819473267 
6	Thigh 	 69.04104948043823 
7	Happy 	 67.29403734207153 
8	Elbow 	 63.78352642059326 
9	T-shirt 	 62.98484206199646 
	Object 	 Score
0	Person 	 87.91935443878174 
1	Top 	 85.12735366821289 
2	Pants 	 84.1305136680603 


fp .fem-pilots-light-505.jpg
 	Label 	 Score
0	Aircraft 	 90.71506857872009 
1	Vehicle 	 88.63999247550964 
2	Airplane 	 86.92893981933594 
3	Mode of transport 	 85.59984564781189 
4	Aerospace manufacturer 	 84.90356802940369 
5	Air travel 	 84.45099592208862 
6	Travel 	 83.69088768959045 
7	Aviation 	 83.24556350708008 
8	Aircraft engine 	 79.4726312160492 
9	Airliner 	 79.05464172363281 
	Object 	 Score
0	Person 	 87.81311511993408 
1	Tire 	 51.45601034164429 


fp .fem-pilots-light-500.jpg
 	Label 	 Score
0	School uniform 	 93.23039054870605 
1	Sleeve 	 87.22321391105652 
2	Gesture 	 85.25654673576355 
3	Collar 	 80.18037676811218 
4	Black hair 	 78.17569375038147 
5	Dress shirt 	 72.37641215324402 
6	Uniform 	 69.69626545906067 
7	Event 	 67.99653768539429 
8	Hime cut 	 60.952192544937134 
9	Toddler 	 56.14774227142334 
	Object 	 Score
0	Person 	 82.55749940872192 
1	Clothing 	 51.501184701919556 


fp .fem-pilots-light-538.png
 	Label 	 Score
0	Vision care 	 92.81089901924133 
1	Vertebrate 	 92.34116077423096 
2	Goggles 	 91.64378046989441 
3	Sunglasses 	 89.97709155082703 
4	Automotive design 	 89.44423794746399 
5	Mammal 	 85.41296720504761 
6	Eyewear 	 83.4696352481842 
7	Motor vehicle 	 80.19631505012512 
8	Vehicle 	 78.40306162834167 
9	Travel 	 76.70243978500366 
	Object 	 Score
0	Sunglasses 	 92.4240231513977 
1	Person 	 89.30538296699524 
2	Outerwear 	 87.34581470489502 
3	Glasses 	 67.6902711391449 


fp .fem-pilots-light-492.jpg
 	Label 	 Score
0	Smile 	 94.28979754447937 
1	Gesture 	 85.2604866027832 
2	Vehicle 	 84.61136817932129 
3	Travel 	 79.73230481147766 
4	Sky 	 75.19842982292175 
5	Event 	 74.79631304740906 
6	Happy 	 74.440997838974 
7	Belt 	 72.65924215316772 
8	Fun 	 71.29029035568237 
9	Uniform 	 71.17010354995728 
	Object 	 Score
0	Tie 	 90.06965756416321 
1	Tie 	 89.586341381073 
2	Person 	 85.9002947807312 
3	Tie 	 84.29203629493713 
4	Person 	 83.2054078578949 
5	Person 	 83.17409753799438 
6	Top 	 82.59769678115845 
7	Top 	 78.69324684143066 
8	Top 	 77.58963108062744 
9	Pants 	 74.0460753440857 


fp .fem-pilots-light-495.jpg
 	Label 	 Score
0	Face 	 98.41364026069641 
1	Smile 	 97.81741499900818 
2	Outerwear 	 95.35553455352783 
3	Shoulder 	 93.87511610984802 
4	Eyebrow 	 93.69403719902039 
5	Tie 	 91.22977256774902 
6	Dress shirt 	 90.3361439704895 
7	Neck 	 88.90509009361267 
8	Sleeve 	 87.24501132965088 
9	Happy 	 85.48738956451416 
	Object 	 Score
