ffa .fem-flight-attendants-light-168.jpg
 	Label 	 Score
3	Engineering 	 76.17477774620056 
4	Passenger 	 73.47325086593628 
5	Aircraft cabin 	 72.57336974143982 
6	Event 	 72.32829332351685 
7	Hat 	 71.12284898757935 
8	Public transport 	 70.44132351875305 
9	Aerospace manufacturer 	 69.81573104858398 
	Object 	 Score
0	Hat 	 88.99591565132141 
1	Person 	 88.5477364063263 
2	Person 	 86.15749478340149 
3	Person 	 84.57750082015991 
4	Clothing 	 58.210670948028564 
5	Top 	 57.61205554008484 
6	Person 	 55.994367599487305 
7	Top 	 55.70869445800781 
8	Chair 	 50.98971724510193 


ffa .fem-flight-attendants-light-525.jpg
 	Label 	 Score
0	Smile 	 97.34433889389038 
1	Dress shirt 	 88.44266533851624 
2	Sleeve 	 87.2113585472107 
3	Collar 	 83.94085168838501 
4	Gas 	 78.08404564857483 
5	Tie 	 77.6163399219513 
6	Blazer 	 76.68905258178711 
7	Major appliance 	 76.35571360588074 
8	Machine 	 73.57077598571777 
9	Electronic device 	 73.36080074310303 
	Object 	 Score
0	Person 	 91.70453548431396 
1	Tie 	 89.14569020271301 
2	Top 	 66.77883863449097 


ffa .fem-flight-attendants-light-498.jpg
 	Label 	 Score
0	Furniture 	 93.90244483947754 
1	Chair 	 87.39547729492188 
2	Dress 	 85.21321415901184 
3	Flooring 	 82.03449845314026 
4	Floor 	 82.00573921203613 
5	Automotive design 	 81.38518929481506 
6	Fashion design 	 78.5617470741272 
7	Waist 	 77.30308771133423 
8	Comfort 	 73.69633316993713 
9	Human leg 	 73.2757568359375 
	Object 	 Score
0	Person 	 90.19600749015808 
1	Dress 	 86.58462166786194 
2	Luggage & bags 	 85.63334345817566 
3	Top 	 64.82415795326233 
4	Skirt 	 62.877100706100464 
5	Chair 	 50.92676877975464 


ffa .fem-flight-attendants-light-140.jpg
 	Label 	 Score
0	Smile 	 97.83497452735901 
1	Outerwear 	 95.42229175567627 
2	Sleeve 	 87.07510828971863 
3	Flight attendant 	 86.06827855110168 
4	Collar 	 83.74916911125183 
5	Tie 	 82.03943371772766 
6	Happy 	 81.32555484771729 
7	Blazer 	 78.24153900146484 
8	Electric blue 	 75.4584550857544 
9	Formal wear 	 73.5316276550293 
	Object 	 Score
0	Tie 	 94.36807036399841 
1	Person 	 90.81911444664001 
2	Outerwear 	 81.45907521247864 


ffa .fem-flight-attendants-light-104.jpg
 	Label 	 Score
0	Automotive design 	 88.17289471626282 
1	Megaphone 	 72.88309931755066 
2	Car 	 72.15378284454346 
3	Event 	 71.20676040649414 
4	Uniform 	 69.45485472679138 
5	Personal protective equipment 	 66.15607738494873 
6	Aerospace engineering 	 65.9605622291565 
7	Carmine 	 65.78014492988586 
8	Hat 	 64.47165012359619 
9	Fun 	 62.72706389427185 
	Object 	 Score
0	Hat 	 91.97031259536743 
1	Person 	 90.76311588287354 
2	Lighting 	 64.74722623825073 
3	Luggage & bags 	 53.2235324382782 


ffa .fem-flight-attendants-light-495.jpg
 	Label 	 Score
0	Comfort 	 85.20501852035522 
1	Health care 	 81.49552345275879 
2	Medical equipment 	 79.41421270370483 
3	Airplane 	 78.26058864593506 
4	Service 	 77.29448676109314 
5	Aerospace manufacturer 	 77.02268958091736 
6	Aircraft 	 75.70823431015015 
7	Air travel 	 75.50382018089294 
8	Aircraft cabin 	 73.01917672157288 
9	Engineering 	 72.5271224975586 
	Object 	 Score
0	Person 	 89.37950134277344 
1	Skirt 	 84.96515154838562 
2	Person 	 83.69204998016357 
3	Person 	 82.21410512924194 
4	Tie 	 81.42544627189636 
5	Person 	 79.60703372955322 
6	Mirror 	 69.33098435401917 


ffa .fem-flight-attendants-light-116.jpg
 	Label 	 Score
0	Neck 	 87.52341270446777 
1	Sleeve 	 87.24504709243774 
2	Hat 	 86.58609390258789 
3	Gesture 	 85.2604866027832 
4	Collar 	 84.13447141647339 
5	Overcoat 	 81.82355165481567 
6	Waist 	 81.79993033409119 
7	Fashion design 	 80.12115955352783 
8	Blazer 	 78.27790379524231 
9	Knee 	 77.21102833747864 
	Object 	 Score
0	Person 	 88.34449648857117 
1	Shoe 	 86.9781494140625 
2	Skirt 	 83.22853446006775 
3	Outerwear 	 80.86414337158203 
4	High heels 	 69.39160823822021 
5	Hat 	 61.82543635368347 


ffa .fem-flight-attendants-light-132.jpg
 	Label 	 Score
0	Smile 	 97.05241918563843 
1	Shoulder 	 93.70930194854736 
2	Neck 	 87.92310357093811 
3	Sleeve 	 87.24504113197327 
4	Coat 	 86.48176789283752 
5	Collar 	 84.05567407608032 
6	Formal wear 	 78.29116582870483 
7	Blazer 	 78.27765345573425 
8	Fashion design 	 77.16778516769409 
9	Electric blue 	 75.50140023231506 
	Object 	 Score
0	Scarf 	 93.64531636238098 
1	Person 	 84.70931053161621 
2	Outerwear 	 67.03508496284485 


ffa .fem-flight-attendants-light-119.jpg
 	Label 	 Score
0	Smile 	 97.51570224761963 
1	Shoulder 	 94.32058930397034 
2	Table tennis racket 	 88.32322955131531 
3	Flash photography 	 87.74105310440063 
4	Sleeve 	 87.24196553230286 
5	Gesture 	 85.2604866027832 
6	Happy 	 84.10710096359253 
7	Finger 	 84.03626680374146 
8	Cool 	 81.40724301338196 
9	Fun 	 75.04239678382874 
	Object 	 Score
0	Person 	 92.64240264892578 
1	Outerwear 	 80.08702397346497 
2	Racket 	 54.35807704925537 


ffa .fem-flight-attendants-light-150.jpg
 	Label 	 Score
0	Sleeve 	 87.23904490470886 
1	Security 	 84.28959250450134 
2	Military uniform 	 82.5940191745758 
3	Dress shirt 	 80.04006147384644 
4	Military person 	 78.80092859268188 
5	Blazer 	 78.26382517814636 
6	White-collar worker 	 76.53077244758606 
7	Automotive design 	 76.29747986793518 
8	Engineering 	 73.20911288261414 
9	Tie 	 72.29816317558289 
	Object 	 Score
0	Outerwear 	 94.14523839950562 
1	Hat 	 91.51120781898499 
2	Person 	 90.27196168899536 
3	Skirt 	 89.78320956230164 
4	Luggage & bags 	 68.07871460914612 
5	Luggage & bags 	 54.39031720161438 


ffa .fem-flight-attendants-light-522.jpg
 	Label 	 Score
0	Air travel 	 79.8047661781311 
1	Airplane 	 77.39954590797424 
2	Aircraft cabin 	 77.2608995437622 
3	Service 	 76.48982405662537 
4	Engineering 	 75.63436031341553 
5	Event 	 73.18353652954102 
6	T-shirt 	 72.53438234329224 
7	Job 	 69.3096399307251 
8	Airliner 	 68.08831095695496 
9	Airline 	 67.33822822570801 
